sample_name  tissue genome
#LE1  LE  fielder
#LE2  LE  fielder
#LE3  LE  fielder
#IS1  IS  fielder
#IS2  IS  fielder
#IS3  IS  fielder
#SP1  SP  fielder
#SP2  SP  fielder
#SP3  SP  fielder
#RO1  RO  fielder
#RO2  RO  fielder
#RO3  RO  fielder
SLE1  LE  fielder
SLE2  LE  fielder
SLE3  LE  fielder
SIS1  IS  fielder
SIS2  IS  fielder
SIS3  IS  fielder
SSP1  SP  fielder
SSP2  SP  fielder
SSP3  SP  fielder
SRO1  RO  fielder
SRO2  RO  fielder
SRO3  RO  fielder
CL1  LE  cadenza
CL2  LE  cadenza
CL3  LE  cadenza
CL4  LE  cadenza
CL5  LE  cadenza
CR1  RO  cadenza
CR2  RO  cadenza
CR3  RO  cadenza
CR4  RO  cadenza
CR5  RO  cadenza
CSSE1R1  SE  chinese_spring
CSSE1R2  SE  chinese_spring
CSSE2  SE  chinese_spring
CSSE3R1  SE  chinese_spring
CSSE3R2  SE  chinese_spring
CSSE4  SE  chinese_spring
CSSPI1R1  SPI  chinese_spring
CSSPI1R2  SPI  chinese_spring
CSSPI2R1  SPI   chinese_spring
CSSPI2R2  SPI   chinese_spring
CSEM1R1  EM  chinese_spring
CSEM1R2  EM  chinese_spring
CSEM2R1  EM  chinese_spring
CSEM2R2  EM  chinese_spring
CSRO1  RO  chinese_spring
CSRO2  RO  chinese_spring

